CustomerID,Age,Gender,MaritalStatus,IncomeLevel,Churn,MonthlyCharges,Tenure,TotalCharges,Contract,InternetService,OnlineSecurity,TechSupport,PaymentMethod
63,56,M,Married,Low,0,20.0,7,140.0,One year,No,No,No,Credit card
64,58,F,Single,High,0,68.0379337591933,21,1428.7966089430593,Month-to-month,DSL,Yes,No,Bank transfer
65,35,F,Divorced,Low,0,38.125258223941984,58,2211.264976988635,Month-to-month,DSL,Yes,No,Electronic check
66,33,M,Widowed,Medium,0,63.56240028570823,5,317.8120014285411,One year,Fiber optic,No,Yes,Mailed check
67,22,F,Single,Medium,1,49.27989878419666,23,1133.4376720365233,Month-to-month,DSL,No,No,Electronic check
68,59,F,Divorced,High,0,90.03532897892023,23,2070.8125665151656,One year,Fiber optic,No,No,Mailed check
69,60,F,Single,Low,0,33.61636025047634,31,1042.1071677647665,One year,No,Yes,No,Mailed check
70,49,F,Married,Medium,0,43.54880245394876,3,130.6464073618463,Month-to-month,DSL,No,No,Bank transfer
71,19,F,Divorced,Low,1,33.61395605508414,30,1008.4186816525241,Month-to-month,Fiber optic,Yes,No,Mailed check
72,19,F,Divorced,High,0,95.38036566465969,57,5436.680842885602,One year,Fiber optic,No,No,Electronic check
73,57,M,Single,Low,1,29.641739608900483,4,118.56695843560193,Month-to-month,Fiber optic,Yes,No,Mailed check
74,59,M,Widowed,Low,1,45.64643655814006,6,273.87861934884035,One year,DSL,Yes,Yes,Credit card
75,53,F,Single,High,1,53.80254895910255,72,3873.7835250553835,One year,Fiber optic,Yes,No,Bank transfer
76,56,F,Widowed,Medium,0,58.21902504375224,4,232.87610017500896,Two year,DSL,Yes,No,Mailed check
77,29,M,Divorced,High,1,80.87047068238171,46,3720.0416513895584,One year,Fiber optic,Yes,No,Credit card
78,64,M,Widowed,Low,1,27.009926495341325,16,432.1588239254612,One year,DSL,Yes,No,Credit card
79,36,M,Married,High,0,80.91760776535503,6,485.5056465921302,One year,No,No,No,Electronic check
80,45,M,Widowed,High,0,60.124310853991076,49,2946.0912318455626,Month-to-month,DSL,No,No,Electronic check
81,18,F,Widowed,Low,1,27.80328112162488,14,389.24593570274834,Month-to-month,DSL,Yes,No,Bank transfer
82,32,F,Divorced,High,0,83.57112571511746,17,1420.7091371569968,Two year,Fiber optic,No,No,Credit card
83,53,M,Widowed,Medium,0,64.77894044741517,10,647.7894044741516,One year,Fiber optic,Yes,No,Credit card
84,30,M,Divorced,Medium,0,44.81729781726352,21,941.163254162534,Two year,DSL,No,Yes,Credit card
85,60,M,Married,High,0,71.91506397106812,4,287.6602558842725,Two year,Fiber optic,Yes,Yes,Bank transfer
86,38,M,Married,Low,0,24.982429564154636,11,274.806725205701,Two year,Fiber optic,Yes,No,Mailed check
87,29,F,Single,High,1,89.15402117702074,72,6419.089524745493,Two year,Fiber optic,No,Yes,Electronic check
88,22,M,Single,High,1,83.28751109659684,7,583.0125776761779,One year,Fiber optic,No,Yes,Electronic check
89,24,M,Single,Medium,0,44.70239796232961,25,1117.5599490582404,Month-to-month,Fiber optic,No,No,Mailed check
90,22,M,Married,Medium,1,55.13267433113356,9,496.194068980202,One year,No,No,No,Bank transfer
91,65,F,Widowed,Low,0,30.970775493480403,35,1083.977142271814,Month-to-month,Fiber optic,No,No,Bank transfer
92,21,F,Divorced,Low,1,39.68644990532889,3,119.05934971598668,One year,DSL,Yes,No,Bank transfer
93,30,F,Married,Low,1,22.979469061226474,72,1654.521772408306,One year,Fiber optic,Yes,No,Electronic check
94,54,M,Widowed,High,0,76.72337853402232,14,1074.1272994763124,One year,DSL,Yes,No,Bank transfer
95,58,F,Single,High,0,76.07891846867842,6,456.4735108120706,Month-to-month,Fiber optic,Yes,Yes,Electronic check
96,32,F,Divorced,High,0,65.36485051867882,1,65.36485051867882,Month-to-month,No,No,No,Mailed check
97,33,M,Single,High,0,82.96120277064576,4,331.844811082583,One year,No,No,No,Bank transfer
98,38,F,Divorced,Low,1,32.610552721798896,17,554.3793962705812,Month-to-month,Fiber optic,Yes,No,Bank transfer
99,53,M,Widowed,Low,0,30.051134566424608,9,270.46021109782146,Two year,No,No,No,Credit card
100,41,F,Married,Low,1,27.654128666248532,42,1161.4734039824384,Month-to-month,No,No,No,Electronic check
101,33,F,Single,High,0,65.84629257949585,13,856.001803533446,Month-to-month,No,Yes,Yes,Mailed check
102,31,M,Married,High,0,75.79354677234642,6,454.7612806340785,Month-to-month,No,Yes,No,Mailed check
103,39,M,Widowed,Low,1,26.572854834732304,23,611.175661198843,One year,Fiber optic,Yes,No,Mailed check
104,66,F,Widowed,Medium,1,41.97722730778381,29,1217.3395919257305,One year,DSL,Yes,No,Credit card
105,67,F,Widowed,Low,1,28.38714288333991,4,113.54857153335963,Month-to-month,Fiber optic,Yes,Yes,Bank transfer
106,23,M,Married,High,1,84.04050856814538,4,336.16203427258154,Month-to-month,Fiber optic,No,No,Credit card
107,59,F,Married,High,0,98.8618590121053,1,98.8618590121053,One year,No,Yes,No,Electronic check
108,53,M,Divorced,Low,0,31.74577812831839,31,984.11912197787,Month-to-month,Fiber optic,Yes,Yes,Credit card
109,18,M,Married,Medium,0,52.57550390722764,26,1366.9631015879186,One year,DSL,No,No,Electronic check
110,49,M,Married,Medium,0,49.25554084233833,15,738.8331126350749,One year,No,No,No,Credit card
111,23,F,Widowed,High,1,60.812287847009586,44,2675.7406652684217,Month-to-month,No,No,No,Mailed check
112,48,F,Divorced,High,1,79.73486124550783,39,3109.659588574805,Month-to-month,No,Yes,No,Mailed check
113,18,F,Married,High,0,80.60230209941027,21,1692.6483440876157,Two year,Fiber optic,Yes,No,Mailed check
114,67,F,Married,Low,1,54.63242112485286,48,2622.3562139929372,One year,Fiber optic,No,No,Credit card
115,68,F,Widowed,High,0,78.07639035218878,5,390.38195176094393,One year,Fiber optic,Yes,No,Electronic check
116,54,M,Married,High,0,83.01547342333612,2,166.03094684667224,Month-to-month,Fiber optic,Yes,Yes,Mailed check
117,52,F,Widowed,High,0,79.65288230294756,7,557.5701761206329,One year,Fiber optic,No,No,Credit card
118,66,M,Divorced,Medium,1,38.31321962380468,1,38.31321962380468,Month-to-month,Fiber optic,No,Yes,Mailed check
119,47,M,Widowed,Medium,0,61.42822814515021,18,1105.7081066127037,One year,DSL,No,Yes,Electronic check
120,21,F,Widowed,High,0,87.51933032686775,66,5776.275801573272,Two year,DSL,No,No,Mailed check
121,52,M,Divorced,Medium,1,57.910319470430466,1,57.910319470430466,Month-to-month,Fiber optic,No,No,Mailed check
122,60,F,Single,Medium,0,40.906125452052606,3,122.71837635615782,Month-to-month,DSL,Yes,No,Credit card
123,31,M,Widowed,Medium,0,64.02794310936099,14,896.3912035310539,Month-to-month,Fiber optic,Yes,No,Bank transfer
124,66,M,Married,Medium,1,35.98148937207719,65,2338.7968091850175,Month-to-month,Fiber optic,Yes,No,Mailed check
125,57,M,Widowed,Low,1,35.868570938002705,9,322.8171384420243,Month-to-month,DSL,Yes,Yes,Credit card
126,39,F,Divorced,Medium,1,71.90455625809979,16,1150.4729001295966,Month-to-month,DSL,No,No,Mailed check
127,27,F,Married,Medium,0,40.09463674869312,1,40.09463674869312,Two year,DSL,No,No,Electronic check
128,18,F,Divorced,Medium,1,44.33702270397228,3,133.01106811191684,One year,Fiber optic,No,No,Electronic check
129,28,F,Widowed,Medium,1,50.99651365087641,72,3671.7489828631014,Month-to-month,No,Yes,No,Mailed check
130,68,M,Divorced,Low,0,24.965243458838007,72,1797.4975290363366,Two year,DSL,Yes,No,Electronic check
131,61,F,Divorced,Low,1,20.0,1,20.0,Month-to-month,DSL,Yes,No,Credit card
132,41,F,Single,High,1,80.68562974806028,72,5809.36534186034,Two year,DSL,Yes,Yes,Bank transfer
133,20,M,Widowed,Medium,1,39.37696286273895,24,945.0471087057348,Month-to-month,No,Yes,No,Electronic check
134,52,M,Widowed,Medium,1,54.73592430635182,48,2627.3243667048873,Two year,DSL,No,No,Bank transfer
135,53,F,Widowed,High,0,70.80575765766197,14,991.2806072072676,One year,DSL,No,No,Bank transfer
136,48,M,Widowed,Low,1,45.499344050175395,17,773.4888488529817,Two year,No,No,Yes,Credit card
137,21,F,Married,High,0,72.16746707663764,16,1154.6794732262022,Two year,DSL,No,No,Credit card
138,36,M,Divorced,Low,0,26.779384837943244,26,696.2640057865243,Month-to-month,Fiber optic,No,Yes,Mailed check
139,64,F,Widowed,High,1,88.1351721736967,3,264.40551652109014,Two year,DSL,Yes,No,Bank transfer
140,53,M,Married,High,0,67.69135683566044,1,67.69135683566044,Month-to-month,Fiber optic,Yes,No,Bank transfer
141,38,F,Widowed,Medium,0,52.27459934604129,8,418.19679476833034,Month-to-month,Fiber optic,Yes,Yes,Bank transfer
142,35,M,Divorced,High,0,93.07142754282428,29,2699.071398741904,Month-to-month,DSL,No,No,Electronic check
143,68,F,Widowed,Low,0,20.0,5,100.0,One year,No,No,Yes,Electronic check
144,45,F,Married,Low,1,31.846338585323043,26,828.0048032183992,Month-to-month,No,Yes,No,Mailed check
145,32,F,Married,High,1,82.59882794248423,72,5947.115611858865,One year,Fiber optic,No,No,Electronic check
146,59,F,Divorced,Low,1,37.8182287177731,2,75.6364574355462,One year,DSL,No,Yes,Electronic check
147,19,F,Widowed,High,1,67.63049289121918,26,1758.3928151716987,Two year,Fiber optic,Yes,Yes,Bank transfer
148,54,F,Married,Medium,0,36.795433869157236,14,515.1360741682013,Two year,No,Yes,No,Electronic check
149,28,M,Single,Medium,0,55.21941565616898,48,2650.531951496111,One year,No,No,Yes,Bank transfer
150,40,F,Widowed,Medium,0,52.96984673233186,4,211.87938692932744,Month-to-month,DSL,No,Yes,Mailed check
151,61,M,Single,Medium,0,52.504928503458764,28,1470.1379980968454,Month-to-month,No,Yes,No,Credit card
152,58,F,Married,High,1,83.46448209496975,43,3588.9727300836994,Month-to-month,DSL,No,No,Mailed check
153,29,M,Married,Low,1,23.199752784215093,69,1600.7829421108413,Month-to-month,DSL,Yes,No,Electronic check
154,20,F,Divorced,High,0,82.32253697161003,27,2222.708498233471,Month-to-month,Fiber optic,No,Yes,Bank transfer
155,69,M,Divorced,Low,1,32.93072473298681,16,526.891595727789,Month-to-month,Fiber optic,No,Yes,Credit card
156,34,F,Widowed,High,0,72.85648581973632,23,1675.6991738539355,Two year,DSL,No,Yes,Credit card
157,50,M,Married,Low,0,48.65774511144757,48,2335.571765349483,One year,DSL,No,Yes,Mailed check
158,18,F,Married,Low,1,34.73832920911788,20,694.7665841823575,Month-to-month,Fiber optic,No,No,Mailed check
159,56,M,Married,High,0,68.08696502797352,1,68.08696502797352,One year,No,No,No,Credit card
160,37,M,Married,Medium,1,56.5655360863383,64,3620.194309525651,Month-to-month,Fiber optic,Yes,Yes,Electronic check
161,64,M,Single,High,0,70.25318329772679,28,1967.0891323363503,One year,DSL,No,No,Bank transfer
162,60,F,Married,Medium,1,57.87084603742452,27,1562.5128430104621,One year,DSL,Yes,No,Mailed check
163,69,M,Divorced,High,1,91.58595579007404,5,457.9297789503702,One year,DSL,No,No,Electronic check
164,58,F,Widowed,Low,1,21.793176816482895,25,544.8294204120724,One year,DSL,No,No,Mailed check
165,31,F,Widowed,Medium,0,59.63376129244322,12,715.6051355093186,Two year,Fiber optic,No,No,Electronic check
166,48,F,Widowed,Low,1,34.12780926936498,25,853.1952317341245,Two year,Fiber optic,No,Yes,Bank transfer
167,42,F,Single,Low,1,38.2206015999449,2,76.4412031998898,One year,DSL,No,Yes,Credit card
168,20,M,Married,Low,1,48.967929826539475,25,1224.198245663487,One year,DSL,Yes,No,Electronic check
169,21,F,Widowed,High,1,77.5461188399713,72,5583.320556477934,One year,Fiber optic,No,Yes,Credit card
170,48,M,Divorced,Low,0,22.462638356425103,1,22.462638356425103,Month-to-month,DSL,Yes,No,Electronic check
171,52,F,Single,High,1,71.10485570374476,72,5119.549610669623,Month-to-month,Fiber optic,Yes,No,Mailed check
172,61,M,Married,Medium,0,41.841897150345616,12,502.1027658041474,Month-to-month,DSL,Yes,No,Electronic check
173,31,F,Married,Low,1,29.22898290585896,49,1432.220162387089,One year,No,No,No,Credit card
174,66,F,Married,Medium,0,53.41151974816644,36,1922.8147109339918,One year,Fiber optic,No,No,Bank transfer
175,58,M,Married,Medium,0,52.766907993300194,20,1055.338159866004,Month-to-month,Fiber optic,No,No,Bank transfer
176,26,F,Single,High,1,88.27183249036024,32,2824.6986396915277,Two year,DSL,No,No,Credit card
177,37,F,Divorced,Medium,1,50.13001891877907,50,2506.5009459389535,Two year,DSL,Yes,Yes,Bank transfer
178,49,F,Married,High,0,94.53534077157317,12,1134.4240892588782,One year,DSL,Yes,No,Credit card
179,26,F,Single,High,0,77.35343166762044,9,696.180885008584,One year,No,No,Yes,Bank transfer
180,44,F,Single,Medium,1,77.20169166589619,26,2007.243983313301,Two year,No,No,No,Credit card
181,20,F,Divorced,Medium,0,56.25667347765006,39,2194.0102656283525,Month-to-month,No,No,No,Mailed check
182,21,F,Single,Medium,0,41.42842443583717,34,1408.566430818464,Two year,DSL,Yes,No,Electronic check
183,62,F,Single,High,1,69.29107501938887,38,2633.060850736777,Month-to-month,Fiber optic,No,No,Mailed check
184,32,M,Widowed,High,0,84.82472415243186,13,1102.7214139816142,Two year,Fiber optic,No,No,Electronic check
185,50,F,Widowed,Medium,1,47.76537214674149,40,1910.6148858696597,Month-to-month,Fiber optic,Yes,No,Bank transfer
186,22,M,Divorced,High,1,87.14000494092092,3,261.42001482276277,Two year,DSL,No,Yes,Mailed check
187,21,F,Widowed,Medium,1,54.73237624573545,18,985.1827724232381,Two year,Fiber optic,No,No,Bank transfer
188,63,M,Single,High,1,79.27171087343127,1,79.27171087343127,Month-to-month,No,No,No,Electronic check
189,29,M,Single,High,0,71.53206281931595,9,643.7885653738435,One year,DSL,Yes,No,Electronic check
190,40,M,Divorced,Low,0,20.0,10,200.0,Two year,DSL,No,No,Mailed check
191,31,F,Single,Low,1,25.53485047932979,12,306.4182057519575,One year,Fiber optic,Yes,Yes,Credit card
192,63,F,Divorced,Medium,1,58.56398794323472,28,1639.7916624105721,Two year,Fiber optic,Yes,No,Mailed check
193,29,M,Widowed,Low,0,32.14093744130204,11,353.55031185432244,One year,Fiber optic,No,No,Mailed check
194,34,F,Widowed,High,0,67.54261221288012,14,945.5965709803216,Month-to-month,Fiber optic,No,No,Bank transfer
195,42,F,Married,Medium,0,51.73180925851182,6,310.3908555510709,Month-to-month,Fiber optic,Yes,Yes,Bank transfer
196,47,M,Widowed,Low,0,33.85317379728837,11,372.3849117701721,Month-to-month,DSL,No,No,Electronic check
197,39,F,Married,Medium,0,41.16142563798867,6,246.96855382793203,Two year,No,No,No,Mailed check
198,64,M,Married,Medium,1,51.53725105945528,1,51.53725105945528,Month-to-month,No,No,Yes,Electronic check
199,43,M,Married,High,0,80.58208718446,22,1772.80591805812,One year,DSL,No,No,Credit card
200,34,F,Single,Low,1,20.0,26,520.0,One year,Fiber optic,No,No,Electronic check
201,37,M,Married,High,0,83.57787360348283,23,1922.291092880105,One year,No,No,No,Mailed check
202,51,F,Widowed,Medium,0,55.60784526368234,14,778.5098336915528,Two year,No,Yes,No,Electronic check
203,58,F,Divorced,Medium,1,60.830512431752766,11,669.1356367492804,Two year,Fiber optic,Yes,No,Electronic check
204,50,F,Widowed,Medium,1,60.53802052034903,47,2845.2869644564043,One year,DSL,No,No,Bank transfer
205,54,F,Divorced,Low,0,20.0,17,340.0,Two year,Fiber optic,No,No,Electronic check
206,24,M,Widowed,High,0,70.62174960084877,15,1059.3262440127316,Two year,No,No,Yes,Electronic check
207,39,F,Divorced,High,0,85.1503526720866,1,85.1503526720866,One year,No,Yes,Yes,Mailed check
208,49,F,Widowed,Low,1,35.13785950912209,10,351.37859509122086,Two year,Fiber optic,Yes,No,Electronic check
209,31,F,Divorced,High,0,85.15047686306048,11,936.6552454936652,Month-to-month,No,No,No,Electronic check
210,25,M,Married,High,1,118.52731490654722,12,1422.3277788785667,Month-to-month,DSL,Yes,Yes,Credit card
211,42,M,Divorced,Medium,0,55.70890510693167,20,1114.1781021386332,Two year,No,No,No,Bank transfer
212,33,F,Married,Medium,0,61.35565640180599,18,1104.4018152325077,One year,Fiber optic,Yes,No,Credit card
213,59,F,Widowed,Medium,1,59.54001763493203,22,1309.8803879685047,Two year,No,No,Yes,Credit card
214,36,F,Divorced,Low,0,36.51391251305798,34,1241.4730254439714,Two year,Fiber optic,No,No,Bank transfer
215,58,F,Divorced,Medium,1,46.84730755359654,40,1873.8923021438618,Month-to-month,Fiber optic,Yes,Yes,Electronic check
216,33,F,Widowed,High,1,87.58969220493267,30,2627.6907661479804,Two year,Fiber optic,No,No,Bank transfer
217,29,M,Married,Low,1,22.27174785462428,72,1603.565845532948,One year,No,Yes,No,Credit card
218,56,F,Married,High,0,77.63181393259991,1,77.63181393259991,One year,No,No,No,Bank transfer
219,65,M,Single,Low,1,25.146364521708964,5,125.73182260854482,One year,No,No,Yes,Mailed check
220,47,M,Single,High,0,80.81874139386322,1,80.81874139386322,Two year,No,No,No,Electronic check
221,19,F,Single,Low,1,53.146585666735085,25,1328.664641668377,Month-to-month,Fiber optic,No,No,Credit card
222,49,M,Divorced,High,1,61.32734807408252,54,3311.6767960004563,One year,Fiber optic,No,No,Bank transfer
223,62,F,Divorced,Medium,1,56.86260190374514,6,341.1756114224708,One year,Fiber optic,Yes,Yes,Credit card
224,42,M,Divorced,Low,1,20.0,62,1240.0,One year,Fiber optic,Yes,No,Electronic check
225,42,M,Widowed,High,0,75.28068134210567,1,75.28068134210567,One year,Fiber optic,No,No,Electronic check
226,21,F,Single,High,0,90.88950596967366,65,5907.817888028788,Month-to-month,Fiber optic,No,No,Electronic check
227,36,M,Widowed,High,0,80.64280019095463,10,806.4280019095463,Month-to-month,Fiber optic,No,No,Bank transfer
228,65,F,Single,High,0,69.22255222070694,2,138.4451044414139,Month-to-month,Fiber optic,No,No,Electronic check
229,21,F,Single,Medium,1,42.84696290740032,15,642.7044436110048,Two year,Fiber optic,No,No,Electronic check
230,60,F,Divorced,Medium,1,56.79597748934676,7,397.57184242542735,Month-to-month,Fiber optic,No,Yes,Credit card
231,30,F,Married,Low,0,22.696333682828634,8,181.57066946262907,Month-to-month,No,No,No,Electronic check
232,56,F,Single,Low,1,32.16458589581975,8,257.316687166558,Two year,DSL,No,Yes,Credit card
233,53,F,Married,High,1,80.45571839903813,38,3057.317299163449,Month-to-month,No,No,No,Mailed check
234,40,M,Widowed,Low,0,23.48399652394183,18,422.71193743095296,Two year,Fiber optic,Yes,Yes,Credit card
235,23,M,Divorced,High,1,101.43944089325325,8,811.515527146026,One year,Fiber optic,Yes,No,Bank transfer
236,41,F,Single,Low,1,36.33919022318011,22,799.4621849099624,Two year,DSL,Yes,Yes,Credit card
237,61,M,Divorced,Low,0,20.0,30,600.0,Month-to-month,Fiber optic,Yes,No,Credit card
238,50,M,Widowed,High,0,81.86454314769428,7,573.05180203386,Month-to-month,Fiber optic,Yes,No,Electronic check
239,29,F,Married,Medium,0,43.38213535231612,12,520.5856242277935,One year,Fiber optic,No,Yes,Electronic check
240,58,M,Divorced,High,0,88.52433334796224,3,265.57300004388674,Two year,Fiber optic,No,Yes,Electronic check
241,38,F,Divorced,Medium,0,42.07479261567299,4,168.29917046269196,One year,Fiber optic,No,Yes,Bank transfer
242,28,F,Single,Low,0,28.85263558533101,27,779.0211608039373,Month-to-month,Fiber optic,No,No,Credit card
243,61,M,Married,Medium,1,55.049872789804574,4,220.1994911592183,Two year,DSL,Yes,No,Mailed check
244,55,F,Widowed,High,0,88.65755194170121,17,1507.1783830089207,Two year,Fiber optic,Yes,No,Bank transfer
245,46,F,Single,Low,1,20.0,29,580.0,One year,Fiber optic,Yes,Yes,Electronic check
246,65,F,Divorced,Medium,1,46.654987641590516,2,93.30997528318103,Two year,No,No,No,Credit card
247,58,F,Divorced,Medium,0,45.25054688839044,20,905.0109377678087,Two year,Fiber optic,Yes,No,Credit card
248,20,M,Married,High,0,73.46670767426288,7,514.2669537198401,One year,Fiber optic,Yes,No,Electronic check
249,45,F,Widowed,Low,0,47.65454240281097,72,3431.12705300239,Month-to-month,No,No,No,Mailed check
250,37,M,Widowed,Low,0,34.049817109609556,15,510.74725664414336,One year,Fiber optic,No,Yes,Electronic check
251,43,F,Divorced,Medium,1,37.391160456649544,39,1458.2552578093323,Month-to-month,Fiber optic,Yes,Yes,Bank transfer
252,41,M,Widowed,Medium,0,59.17861947054776,19,1124.3937699404073,One year,Fiber optic,No,Yes,Mailed check
253,69,M,Single,Medium,1,71.22156197012633,1,71.22156197012633,One year,Fiber optic,No,Yes,Electronic check
254,64,F,Married,Low,1,40.32465260551147,24,967.7916625322753,Month-to-month,DSL,No,Yes,Mailed check
255,38,M,Divorced,Medium,1,34.80630034045987,72,2506.0536245131107,Month-to-month,No,No,Yes,Mailed check
